"服务器","玩家id","账号","等级","金额","代理","订单号","充值时间"
"台湾14服","13001881","45415788","340","90","taiwanios","016001400130018811522252911648	","2018-03-29 00:01:51"
"台湾26服","25002507","502283000","248","150","taiwanios","016002600250025071522252911673	","2018-03-29 00:01:51"
"台湾3服","2003645","21441502","369","150","taiwanios","180329000030710014	","2018-03-29 00:01:48"
"台湾21服","20000070","504523060","320","300","taiwanios","016002100200000701522252904166	","2018-03-29 00:01:44"
"台湾11服","10005715","110762109","300","150","taiwanios","016001100100057151522252903988	","2018-03-29 00:01:43"
"台湾3服","2000205","9739598","394","150","taiwanios","016000300020002051522252890731	","2018-03-29 00:01:30"
"台湾27服","26001496","503211274","221","150","taiwanios","016002700260014961522252873417	","2018-03-29 00:01:13"
"台湾13服","12000984","19720738","353","150","taiwanios","016001300120009841522252849756	","2018-03-29 00:00:49"
"台湾13服","12003230","105618949","346","150","taiwanios","016001300120032301522252829418	","2018-03-29 00:00:29"
"台湾16服","15000586","7960929","338","150","taiwanios","016001600150005861522252824282	","2018-03-29 00:00:24"
"台湾16服","15002054","110789497","313","350","taiwanios","180328235727213600	","2018-03-28 23:58:47"
"台湾13服","12005607","110760927","242","890","taiwanios","016001300120056071522252694091	","2018-03-28 23:58:14"
"台湾19服","18003909","9562018","288","50","taiwanios","180328235558912449	","2018-03-28 23:57:00"
"台湾19服","18003909","9562018","288","50","taiwanios","180328235451307879	","2018-03-28 23:57:00"
"台湾26服","25003803","110606971","213","590","taiwanios","016002600250038031522252496667	","2018-03-28 23:54:56"
"台湾22服","21000093","23655446","281","300","taiwanios","016002200210000931522252465259	","2018-03-28 23:54:25"
"台湾29服","28002010","17613504","50","30","taiwanios","016002900280020101522252345963	","2018-03-28 23:52:25"
"台湾8服","7004126","110740885","381","2990","taiwanios","016000800070041261522252292401	","2018-03-28 23:51:32"
"台湾28服","27002563","508117598","182","150","taiwanios","016002800270025631522252122830	","2018-03-28 23:48:42"
"台湾1服 ","8578","508029786","260","300","taiwanios","016000100000085781522252101973	","2018-03-28 23:48:21"
"台湾28服","27002702","21992986","164","300","taiwanios","016002800270027021522251989712	","2018-03-28 23:46:29"
"台湾1服 ","6530","5792847","310","30","taiwanios","016000100000065301522251923876	","2018-03-28 23:45:23"
"台湾29服","28002022","110901839","8","30","taiwanios","016002900280020221522251904898	","2018-03-28 23:45:04"
"台湾28服","27002702","21992986","163","890","taiwanios","016002800270027021522251756241	","2018-03-28 23:42:36"
"台湾29服","28001634","103173999","129","30","taiwanios","016002900280016341522251569589	","2018-03-28 23:39:29"
"台湾1服 ","6530","5792847","310","590","taiwanios","016000100000065301522251550198	","2018-03-28 23:39:10"
"台湾26服","25002507","502283000","247","590","taiwanios","016002600250025071522251447994	","2018-03-28 23:37:27"
"台湾28服","27002563","508117598","180","150","taiwanios","016002800270025631522251344471	","2018-03-28 23:35:44"
"台湾12服","11005318","110768905","306","300","taiwanios","016001200110053181522251332408	","2018-03-28 23:35:32"
"台湾9服","8005107","508011408","315","500","taiwanios","180328233433396093	","2018-03-28 23:34:58"
"台湾16服","15002325","107718493","303","150","taiwanios","016001600150023251522251243486	","2018-03-28 23:34:03"
"台湾29服","28001524","508123274","151","150","taiwanios","016002900280015241522251160362	","2018-03-28 23:32:40"
"台湾27服","26001662","102449209","225","30","taiwanios","016002700260016621522251141202	","2018-03-28 23:32:21"
"台湾1服 ","6689","110759697","311","1000","taiwanios","180328232955156486	","2018-03-28 23:31:54"
"台湾23服","22003269","21527429","261","300","taiwanios","016002300220032691522251112934	","2018-03-28 23:31:52"
"台湾20服","19000629","109025337","270","500","taiwanios","180328232714583759	","2018-03-28 23:29:14"
"台湾17服","16003622","21521029","286","300","taiwanios","180328232136466695	","2018-03-28 23:24:36"
"台湾2服","1000244","17869817","353","300","taiwanios","016000200010002441522250662491	","2018-03-28 23:24:22"
"台湾11服","10001943","3728894","304","150","taiwanios","180328232215161919	","2018-03-28 23:23:18"
"台湾27服","26000812","101420913","220","30","taiwanios","016002700260008121522250535965	","2018-03-28 23:22:15"
"台湾24服","23003020","17695021","247","150","taiwanios","016002400230030201522250415258	","2018-03-28 23:20:15"
"台湾27服","26001496","503211274","221","30","taiwanios","016002700260014961522250405387	","2018-03-28 23:20:05"
"台湾16服","15005086","21850821","287","500","taiwanios","180328231431573316	","2018-03-28 23:18:47"
"台湾22服","21000093","23655446","280","300","taiwanios","016002200210000931522250310408	","2018-03-28 23:18:30"
"台湾27服","26001496","503211274","221","30","taiwanios","016002700260014961522250306887	","2018-03-28 23:18:26"
"台湾27服","26001496","503211274","221","30","taiwanios","016002700260014961522250287577	","2018-03-28 23:18:07"
"台湾21服","20000925","3252090","264","300","taiwanios","180328231506344054	","2018-03-28 23:16:44"
"台湾11服","10001190","507971974","319","590","taiwanios","016001100100011901522250195055	","2018-03-28 23:16:35"
"台湾25服","24000497","508074306","247","30","taiwanios","016002500240004971522250066791	","2018-03-28 23:14:26"
"台湾15服","14005122","110894799","166","1490","taiwanios","016001500140051221522250060908	","2018-03-28 23:14:20"
"台湾9服","8005107","508011408","315","150","taiwanios","180328231358109076	","2018-03-28 23:14:14"
"台湾26服","25000573","110852813","242","300","taiwanios","016002600250005731522250029538	","2018-03-28 23:13:49"
"台湾11服","10004529","507980260","305","150","taiwanios","016001100100045291522250024165	","2018-03-28 23:13:44"
"台湾27服","26001496","503211274","221","150","taiwanios","016002700260014961522250017186	","2018-03-28 23:13:37"
"台湾24服","23001945","25804446","264","590","taiwanios","016002400230019451522249989388	","2018-03-28 23:13:09"
"台湾1服 ","6530","5792847","310","150","taiwanios","016000100000065301522249978432	","2018-03-28 23:12:58"
"台湾29服","28001908","15124128","67","150","taiwanios","016002900280019081522249970192	","2018-03-28 23:12:50"
"台湾20服","19000199","110808215","325","150","taiwanios","016002000190001991522249939946	","2018-03-28 23:12:19"
"台湾8服","7004126","110740885","381","2990","taiwanios","016000800070041261522249921004	","2018-03-28 23:12:01"
"台湾29服","28001810","23437477","106","150","taiwanios","016002900280018101522249872323	","2018-03-28 23:11:12"
"台湾16服","15000683","3129647","291","30","taiwanios","016001600150006831522249807661	","2018-03-28 23:10:07"
"台湾19服","18002052","110641637","287","500","taiwanios","180328230647443707	","2018-03-28 23:08:49"
"台湾5服","4004203","19483312","309","30","taiwanios","016000500040042031522249645242	","2018-03-28 23:07:25"
"台湾17服","16001248","101432351","289","890","taiwanios","016001700160012481522249555408	","2018-03-28 23:05:55"
"台湾7服","6000615","110730757","344","590","taiwanios","016000700060006151522249532690	","2018-03-28 23:05:32"
"台湾23服","22002017","110833193","209","1000","taiwanios","180328223440777621	","2018-03-28 23:05:18"
"台湾22服","21000093","23655446","280","150","taiwanios","016002200210000931522249473226	","2018-03-28 23:04:33"
"台湾1服 ","2623","19833541","336","590","taiwanios","016000100000026231522249445457	","2018-03-28 23:04:05"
"台湾24服","23000938","508064134","232","30","taiwanios","016002400230009381522249331241	","2018-03-28 23:02:11"
"台湾14服","13001790","110778429","330","1000","taiwanios","180328230002524103	","2018-03-28 23:00:03"
"台湾20服","19003598","105000211","19","30","taiwanios","016002000190035981522249182980	","2018-03-28 22:59:42"
"台湾29服","28001873","1173485","62","30","taiwanios","016002900280018731522249113556	","2018-03-28 22:58:33"
"台湾8服","7004126","110740885","380","2990","taiwanios","016000800070041261522249097972	","2018-03-28 22:58:17"
"台湾29服","28001908","15124128","35","90","taiwanios","016002900280019081522249075822	","2018-03-28 22:57:55"
"台湾9服","8005014","507993738","320","500","taiwanios","180328225617206700	","2018-03-28 22:57:05"
"台湾9服","8000767","21418564","348","150","taiwanios","180328225538934949	","2018-03-28 22:56:49"
"台湾8服","7004126","110740885","380","2990","taiwanios","016000800070041261522248997473	","2018-03-28 22:56:37"
"台湾29服","28001908","15124128","27","30","taiwanios","016002900280019081522248967290	","2018-03-28 22:56:07"
"台湾28服","27003026","110896187","105","30","taiwanios","016002800270030261522248915819	","2018-03-28 22:55:15"
"台湾8服","7004126","110740885","380","2990","taiwanios","016000800070041261522248851170	","2018-03-28 22:54:11"
"台湾29服","28001915","7999350","3","30","taiwanios","016002900280019151522248849494	","2018-03-28 22:54:09"
"台湾29服","28000289","507714300","198","890","taiwanios","016002900280002891522248751420	","2018-03-28 22:52:31"
"台湾25服","24004260","508114298","207","2000","taiwanios","180328225018157379	","2018-03-28 22:52:18"
"台湾8服","7004126","110740885","380","2990","taiwanios","016000800070041261522248732084	","2018-03-28 22:52:12"
"台湾1服 ","10013","105634079","5","30","taiwanios","016000100000100131522248722545	","2018-03-28 22:52:02"
"台湾14服","13002581","507999606","300","300","taiwanios","180328225114226234	","2018-03-28 22:51:59"
"台湾27服","26000870","506257588","221","300","taiwanios","180328224930223221	","2018-03-28 22:50:55"
"台湾23服","22000601","508049396","275","150","taiwanios","016002300220006011522248611561	","2018-03-28 22:50:11"
"台湾5服","4004203","19483312","309","590","taiwanios","016000500040042031522248603256	","2018-03-28 22:50:03"
"台湾23服","22003356","13936977","246","150","taiwanios","016002300220033561522248602743	","2018-03-28 22:50:02"
"台湾25服","24004315","106734093","15","30","taiwanios","016002500240043151522248598786	","2018-03-28 22:49:58"
"台湾21服","20002667","21869784","281","500","taiwanios","180328224710374792	","2018-03-28 22:49:57"
"台湾29服","28001883","109332167","27","30","taiwanios","016002900280018831522248590431	","2018-03-28 22:49:50"
"台湾28服","27000770","508112418","227","150","taiwanios","016002800270007701522248524673	","2018-03-28 22:48:44"
"台湾8服","7004126","110740885","380","2990","taiwanios","016000800070041261522248505485	","2018-03-28 22:48:25"
"台湾9服","8003046","25796008","339","10000","taiwanios","180328224621268541	","2018-03-28 22:48:02"
"台湾23服","22000161","13415724","282","90","taiwanios","016002300220001611522248464892	","2018-03-28 22:47:44"
"台湾11服","10001550","503165404","310","150","taiwanios","016001100100015501522248454121	","2018-03-28 22:47:34"
"台湾29服","28001883","109332167","18","90","taiwanios","016002900280018831522248442611	","2018-03-28 22:47:22"
"台湾23服","22000601","508049396","275","590","taiwanios","016002300220006011522248359079	","2018-03-28 22:45:59"
"台湾23服","22003356","13936977","246","90","taiwanios","016002300220033561522248313493	","2018-03-28 22:45:13"
"台湾21服","20001811","508040166","283","300","taiwanios","016002100200018111522248306583	","2018-03-28 22:45:06"
"台湾16服","15000683","3129647","290","150","taiwanios","016001600150006831522248298011	","2018-03-28 22:44:58"
"台湾23服","22000601","508049396","275","150","taiwanios","016002300220006011522248273389	","2018-03-28 22:44:33"
"台湾18服","17001563","23801575","266","1490","taiwanios","MQ09JWZVMB-1","2018-03-28 22:44:26"
"台湾3服","2003645","21441502","369","300","taiwanios","180328224213355013	","2018-03-28 22:43:37"
"台湾28服","27000770","508112418","226","150","taiwanios","016002800270007701522248216234	","2018-03-28 22:43:36"
"台湾16服","15002325","107718493","303","150","taiwanios","016001600150023251522248205741	","2018-03-28 22:43:25"
"台湾10服","9003057","503303526","298","150","taiwanios","016001000090030571522248190967	","2018-03-28 22:43:10"
"台湾23服","22000601","508049396","275","300","taiwanios","016002300220006011522248179005	","2018-03-28 22:42:59"
"台湾29服","28001876","110522641","8","30","taiwanios","016002900280018761522248169503	","2018-03-28 22:42:49"
"台湾28服","27000770","508112418","226","150","taiwanios","016002800270007701522248127696	","2018-03-28 22:42:07"
"台湾27服","26001662","102449209","224","890","taiwanios","016002700260016621522248077400	","2018-03-28 22:41:17"
"台湾28服","27001585","23677512","228","30","taiwanios","016002800270015851522247773731	","2018-03-28 22:36:13"
"台湾12服","11001085","110764127","351","1490","taiwanios","016001200110010851522247763061	","2018-03-28 22:36:03"
"台湾17服","16002118","110795039","273","500","taiwanios","180328223308393936	","2018-03-28 22:34:08"
"台湾12服","11001085","110764127","351","2990","taiwanios","016001200110010851522247647969	","2018-03-28 22:34:07"
"台湾23服","22000069","13313917","278","30","taiwanios","016002300220000691522247556084	","2018-03-28 22:32:36"
"台湾10服","9001173","503090740","327","500","taiwanios","180328223035656090	","2018-03-28 22:31:56"
"台湾28服","27000547","25373070","203","30","taiwanios","016002800270005471522247403820	","2018-03-28 22:30:03"
"台湾29服","28000843","13262915","189","30","taiwanios","016002900280008431522247360792	","2018-03-28 22:29:20"
"台湾24服","23000126","19937065","272","150","taiwanios","016002400230001261522247357842	","2018-03-28 22:29:17"
"台湾28服","27002516","21955479","82","2990","taiwanios","016002800270025161522247356437	","2018-03-28 22:29:16"
"台湾21服","20002612","508041292","294","30","taiwanios","016002100200026121522247353308	","2018-03-28 22:29:13"
"台湾29服","28000860","105599175","136","30","taiwanios","016002900280008601522247348749	","2018-03-28 22:29:08"
"台湾25服","24001975","110858533","252","590","taiwanios","016002500240019751522247303378	","2018-03-28 22:28:23"
"台湾25服","24001118","508077024","239","890","taiwanios","016002500240011181522247300735	","2018-03-28 22:28:20"
"台湾28服","27000574","109176745","226","500","taiwanios","180328222609186137	","2018-03-28 22:27:34"
"台湾12服","11001085","110764127","351","2990","taiwanios","016001200110010851522247234270	","2018-03-28 22:27:14"
"台湾2服","1004178","13981394","306","30","taiwanios","016000200010041781522247210130	","2018-03-28 22:26:50"
"台湾28服","27000347","25521829","202","150","taiwanios","016002800270003471522247208421	","2018-03-28 22:26:48"
"台湾26服","25002093","9319344","260","150","taiwanios","016002600250020931522247134358	","2018-03-28 22:25:34"
"台湾7服","6002814","23557939","265","300","taiwanios","016000700060028141522247122532	","2018-03-28 22:25:22"
"台湾18服","17004448","110804121","328","30","taiwanios","016001800170044481522247054187	","2018-03-28 22:24:14"
"台湾26服","25001155","508091078","264","500","taiwanios","180328222242338314	","2018-03-28 22:23:29"
"台湾29服","28001810","23437477","18","30","taiwanios","016002900280018101522246996451	","2018-03-28 22:23:16"
"台湾26服","25001155","508091078","264","2000","taiwanios","180328222146496327	","2018-03-28 22:22:32"
"台湾11服","10002994","106628003","332","590","taiwanios","016001100100029941522246927988	","2018-03-28 22:22:07"
"台湾28服","27002516","21955479","61","590","taiwanios","016002800270025161522246925979	","2018-03-28 22:22:05"
"台湾26服","25001914","21839103","242","2990","taiwanios","016002600250019141522246849424	","2018-03-28 22:20:49"
"台湾10服","9004820","110754501","287","590","taiwanios","016001000090048201522246769017	","2018-03-28 22:19:29"
"台湾11服","10002994","106628003","332","590","taiwanios","016001100100029941522246696206	","2018-03-28 22:18:16"
"台湾28服","27002516","21955479","55","30","taiwanios","016002800270025161522246637392	","2018-03-28 22:17:17"
"台湾25服","24001062","508076794","250","2990","taiwanios","016002500240010621522246635117	","2018-03-28 22:17:15"
"台湾26服","25002093","9319344","260","890","taiwanios","016002600250020931522246593379	","2018-03-28 22:16:33"
"台湾28服","27002516","21955479","54","90","taiwanios","016002800270025161522246553283	","2018-03-28 22:15:53"
"台湾27服","26002071","110883571","234","890","taiwanios","016002700260020711522246487060	","2018-03-28 22:14:47"
"台湾26服","25001078","1554395","240","500","taiwanios","180328221218527073	","2018-03-28 22:13:23"
"台湾26服","25002093","9319344","260","150","taiwanios","016002600250020931522246381755	","2018-03-28 22:13:01"
"台湾25服","24002882","101485127","241","150","taiwanios","016002500240028821522246349404	","2018-03-28 22:12:29"
"台湾3服","2004013","5811794","351","2000","taiwanios","180328221044528931	","2018-03-28 22:11:30"
"台湾19服","18002422","110808461","271","1000","taiwanios","180328220640109748	","2018-03-28 22:11:26"
"台湾26服","25002093","9319344","260","890","taiwanios","016002600250020931522246240877	","2018-03-28 22:10:40"
"台湾29服","28000112","110896857","199","2990","taiwanios","016002900280001121522246204525	","2018-03-28 22:10:04"
"台湾18服","17005672","508123018","141","30","taiwanios","016001800170056721522246180909	","2018-03-28 22:09:40"
"台湾29服","28001681","508123724","80","150","taiwanios","016002900280016811522246092767	","2018-03-28 22:08:12"
"台湾15服","14001799","3334748","314","590","taiwanios","016001500140017991522246072928	","2018-03-28 22:07:52"
"台湾28服","27002332","110894551","223","890","taiwanios","016002800270023321522245954224	","2018-03-28 22:05:54"
"台湾15服","14001799","3334748","314","890","taiwanios","016001500140017991522245918572	","2018-03-28 22:05:18"
"台湾29服","28001300","503481020","166","590","taiwanios","016002900280013001522245890929	","2018-03-28 22:04:50"
"台湾26服","25000707","5500985","245","1000","taiwanios","180328220105564460	","2018-03-28 22:02:20"
"台湾9服","8005107","508011408","315","150","taiwanios","180328220043805208	","2018-03-28 22:01:55"
"台湾29服","28000926","110899179","151","30","taiwanios","016002900280009261522245654334	","2018-03-28 22:00:54"
"台湾27服","26000947","103842843","245","150","taiwanios","016002700260009471522245647603	","2018-03-28 22:00:47"
"台湾29服","28001724","105634079","29","30","taiwanios","016002900280017241522245602761	","2018-03-28 22:00:02"
"台湾11服","10003447","108138549","313","300","taiwanios","016001100100034471522245549359	","2018-03-28 21:59:09"
"台湾29服","28001681","508123724","61","30","taiwanios","016002900280016811522245533204	","2018-03-28 21:58:53"
"台湾18服","17003081","110802067","245","150","taiwanios","016001800170030811522245517136	","2018-03-28 21:58:37"
"台湾29服","28001724","105634079","18","90","taiwanios","016002900280017241522245466173	","2018-03-28 21:57:46"
"台湾25服","24002054","504241478","247","150","taiwanios","016002500240020541522245339299	","2018-03-28 21:55:39"
"台湾23服","22003269","21527429","260","150","taiwanios","016002300220032691522245263238	","2018-03-28 21:54:23"
"台湾29服","28001529","19173212","44","30","taiwanios","016002900280015291522245214816	","2018-03-28 21:53:34"
"台湾10服","9005790","505450390","222","150","taiwanios","016001000090057901522245177559	","2018-03-28 21:52:57"
"台湾25服","24002054","504241478","247","590","taiwanios","016002500240020541522245147901	","2018-03-28 21:52:27"
"台湾20服","19000889","100039499","279","300","taiwanios","MQ7VSYVNM5-1","2018-03-28 21:52:05"
"台湾27服","26002071","110883571","233","1490","taiwanios","016002700260020711522245061885	","2018-03-28 21:51:01"
"台湾1服 ","7233","507992578","327","2990","taiwanios","016000100000072331522244964016	","2018-03-28 21:49:24"
"台湾28服","27000770","508112418","226","30","taiwanios","016002800270007701522244901707	","2018-03-28 21:48:21"
"台湾10服","9000712","507968448","305","30","taiwanios","016001000090007121522244848245	","2018-03-28 21:47:28"
"台湾23服","22003269","21527429","260","590","taiwanios","016002300220032691522244845096	","2018-03-28 21:47:25"
"台湾14服","13001467","7177700","337","2000","taiwanios","180328214518544252	","2018-03-28 21:47:19"
"台湾20服","19001544","110813707","271","150","taiwanios","016002000190015441522244823402	","2018-03-28 21:47:03"
"台湾25服","24003052","1143552","253","150","taiwanios","016002500240030521522244797341	","2018-03-28 21:46:37"
"台湾25服","24003052","1143552","253","300","taiwanios","016002500240030521522244719051	","2018-03-28 21:45:19"
"台湾25服","24003052","1143552","253","1490","taiwanios","016002500240030521522244610032	","2018-03-28 21:43:30"
"台湾17服","16003542","107559855","292","590","taiwanios","016001700160035421522244604714	","2018-03-28 21:43:24"
"台湾24服","23003362","107545997","240","150","taiwanios","016002400230033621522244515404	","2018-03-28 21:41:55"
"台湾14服","13005165","5037955","289","150","taiwanios","016001400130051651522244467802	","2018-03-28 21:41:07"
"台湾29服","28000112","110896857","198","30","taiwanios","016002900280001121522244418390	","2018-03-28 21:40:18"
"台湾28服","27000770","508112418","226","30","taiwanios","016002800270007701522244361850	","2018-03-28 21:39:21"
"台湾10服","9005373","7670536","313","590","taiwanios","016001000090053731522244344213	","2018-03-28 21:39:04"
"台湾24服","23003362","107545997","240","30","taiwanios","016002400230033621522244338102	","2018-03-28 21:38:58"
"台湾29服","28000112","110896857","198","300","taiwanios","016002900280001121522244330973	","2018-03-28 21:38:50"
"台湾26服","25000279","110866211","231","2000","taiwanios","180328213602972593	","2018-03-28 21:38:09"
"台湾9服","8005014","507993738","318","300","taiwanios","016000900080050141522244285735	","2018-03-28 21:38:05"
"台湾25服","24000494","17886892","252","590","taiwanios","016002500240004941522244274874	","2018-03-28 21:37:54"
"台湾29服","28000112","110896857","198","1490","taiwanios","016002900280001121522244221693	","2018-03-28 21:37:01"
"台湾22服","21001649","19970203","248","30","taiwanios","016002200210016491522244191711	","2018-03-28 21:36:31"
"台湾9服","8005014","507993738","318","300","taiwanios","016000900080050141522244154034	","2018-03-28 21:35:54"
"台湾23服","22000204","508046488","289","300","taiwanios","180328212952612956	","2018-03-28 21:35:53"
"台湾28服","27002407","504032842","205","30","taiwanios","016002800270024071522244050076	","2018-03-28 21:34:10"
"台湾28服","27002407","504032842","205","150","taiwanios","016002800270024071522244041435	","2018-03-28 21:34:01"
"台湾9服","8001693","110744181","331","300","taiwanios","180328213301209642	","2018-03-28 21:33:56"
"台湾17服","16003622","21521029","285","300","taiwanios","180328213134538993	","2018-03-28 21:33:25"
"台湾22服","21002846","508046214","271","300","taiwanios","016002200210028461522243965173	","2018-03-28 21:32:45"
"台湾29服","28000334","110897329","186","890","taiwanios","016002900280003341522243957642	","2018-03-28 21:32:37"
"台湾16服","15003680","107058957","307","90","taiwanios","016001600150036801522243951445	","2018-03-28 21:32:31"
"台湾20服","19001559","110813721","281","300","taiwanios","016002000190015591522243906421	","2018-03-28 21:31:46"
"台湾9服","8001514","5282095","320","590","taiwanios","016000900080015141522243857958	","2018-03-28 21:30:57"
"台湾11服","10004382","110760485","333","2990","taiwanios","016001100100043821522243843952	","2018-03-28 21:30:43"
"台湾26服","25003915","5768203","178","30","taiwanios","016002600250039151522243734736	","2018-03-28 21:28:54"
"台湾11服","10000606","1769322","335","300","taiwanios","180328212707248200	","2018-03-28 21:28:24"
"台湾16服","15001889","105318527","304","590","taiwanios","016001600150018891522243702200	","2018-03-28 21:28:22"
"台湾10服","9005790","505450390","222","150","taiwanios","016001000090057901522243649752	","2018-03-28 21:27:29"
"台湾27服","26000125","3340126","238","1000","taiwanios","180328212547645282	","2018-03-28 21:27:02"
"台湾11服","10000606","1769322","335","500","taiwanios","180328212505984254	","2018-03-28 21:26:54"
"台湾12服","11004904","9903567","305","300","taiwanios","016001200110049041522243586168	","2018-03-28 21:26:26"
"台湾23服","22000161","13415724","280","150","taiwanios","016002300220001611522243583685	","2018-03-28 21:26:23"
"台湾14服","13004637","21631908","312","30","taiwanios","016001400130046371522243466382	","2018-03-28 21:24:26"
"台湾17服","16002539","110795507","284","450","taiwanios","180328212200859525	","2018-03-28 21:23:26"
"台湾11服","10004782","105704639","322","150","taiwanios","016001100100047821522243405400	","2018-03-28 21:23:25"
"台湾10服","9005790","505450390","222","150","taiwanios","016001000090057901522243376022	","2018-03-28 21:22:56"
"台湾16服","15002654","110790099","335","1490","taiwanios","016001600150026541522243350858	","2018-03-28 21:22:30"
"台湾10服","9000188","507927140","340","2990","taiwanios","016001000090001881522243333939	","2018-03-28 21:22:13"
"台湾8服","7005222","507971236","278","590","taiwanios","016000800070052221522243290915	","2018-03-28 21:21:30"
"台湾28服","27001601","5859376","201","590","taiwanios","016002800270016011522243239366	","2018-03-28 21:20:39"
"台湾12服","11006016","1753882","337","890","taiwanios","016001200110060161522243191213	","2018-03-28 21:19:51"
"台湾25服","24001975","110858533","252","890","taiwanios","016002500240019751522243175755	","2018-03-28 21:19:35"
"台湾16服","15000628","504776862","292","500","taiwanios","180328211740883676	","2018-03-28 21:18:59"
"台湾16服","15004105","7688041","313","350","taiwanios","180328211754238019	","2018-03-28 21:18:56"
"台湾17服","16001215","13370113","288","30","taiwanios","016001700160012151522243040960	","2018-03-28 21:17:20"
"台湾21服","20002093","109629623","273","150","taiwanios","016002100200020931522243021171	","2018-03-28 21:17:01"
"台湾11服","10004782","105704639","322","300","taiwanios","016001100100047821522242958544	","2018-03-28 21:15:58"
"台湾16服","15004105","7688041","313","500","taiwanios","180328211411576204	","2018-03-28 21:15:23"
"台湾14服","13005028","110793331","296","30","taiwanios","016001400130050281522242760609	","2018-03-28 21:12:40"
"台湾16服","15004518","508012706","295","30","taiwanios","016001600150045181522242733290	","2018-03-28 21:12:13"
"台湾16服","15002250","3029255","323","1000","taiwanios","180328211031113907	","2018-03-28 21:11:08"
"台湾14服","13005028","110793331","296","30","taiwanios","016001400130050281522242661352	","2018-03-28 21:11:01"
"台湾16服","15002250","3029255","323","1000","taiwanios","180328210926779320	","2018-03-28 21:10:11"
"台湾16服","15004518","508012706","295","300","taiwanios","016001600150045181522242536006	","2018-03-28 21:08:56"
"台湾16服","15002250","3029255","323","1000","taiwanios","180328210713915508	","2018-03-28 21:08:41"
"台湾27服","26000021","110735689","242","150","taiwanios","016002700260000211522242478006	","2018-03-28 21:07:58"
"台湾14服","13001406","110777919","306","500","taiwanios","180328205555700754	","2018-03-28 21:06:02"
"台湾27服","26000021","110735689","242","300","taiwanios","016002700260000211522242298294	","2018-03-28 21:04:58"
"台湾12服","11006016","1753882","337","890","taiwanios","016001200110060161522242159560	","2018-03-28 21:02:39"
"台湾13服","12004939","507996348","322","1000","taiwanios","180328210025848828	","2018-03-28 21:01:21"
"台湾29服","28001490","3249872","70","30","taiwanios","016002900280014901522242019815	","2018-03-28 21:00:19"
"台湾29服","28001574","110900731","48","150","taiwanios","016002900280015741522241950148	","2018-03-28 20:59:10"
"台湾8服","7004327","104895509","317","150","taiwanios","180328205709228754	","2018-03-28 20:58:08"
"台湾22服","21003989","45148529","242","590","taiwanios","016002200210039891522241830928	","2018-03-28 20:57:10"
"台湾20服","19001016","110483169","283","300","taiwanios","016002000190010161522241813999	","2018-03-28 20:56:53"
"台湾7服","6003447","11324088","316","300","taiwanios","016000700060034471522241747630	","2018-03-28 20:55:47"
"台湾27服","26000021","110735689","242","300","taiwanios","016002700260000211522241731973	","2018-03-28 20:55:31"
"台湾22服","21003989","45148529","242","300","taiwanios","016002200210039891522241701699	","2018-03-28 20:55:01"
"台湾25服","24001719","110857639","242","30","taiwanios","016002500240017191522241684848	","2018-03-28 20:54:44"
"台湾11服","10003489","110292875","289","30","taiwanios","016001100100034891522241651587	","2018-03-28 20:54:11"
"台湾11服","10003489","110292875","289","30","taiwanios","016001100100034891522241630849	","2018-03-28 20:53:50"
"台湾11服","10003489","110292875","289","30","taiwanios","016001100100034891522241526201	","2018-03-28 20:52:06"
"台湾29服","28001574","110900731","21","30","taiwanios","016002900280015741522241469461	","2018-03-28 20:51:09"
"台湾27服","26000199","110877695","215","890","taiwanios","016002700260001991522241464461	","2018-03-28 20:51:04"
"台湾26服","25001244","11808846","246","590","taiwanios","016002600250012441522241447499	","2018-03-28 20:50:47"
"台湾22服","21003989","45148529","242","150","taiwanios","016002200210039891522241447239	","2018-03-28 20:50:47"
"台湾27服","26000351","23065144","231","150","taiwanios","016002700260003511522241413902	","2018-03-28 20:50:13"
"台湾20服","19001016","110483169","283","300","taiwanios","016002000190010161522241405109	","2018-03-28 20:50:05"
"台湾14服","13001289","110777865","320","30","taiwanios","016001400130012891522241370610	","2018-03-28 20:49:30"
"台湾26服","25001244","11808846","246","300","taiwanios","016002600250012441522241367792	","2018-03-28 20:49:27"
"台湾20服","19001496","17854377","280","1000","taiwanios","180328204808407679	","2018-03-28 20:49:17"
"台湾19服","18004214","500532286","255","890","taiwanios","016001900180042141522241355820	","2018-03-28 20:49:15"
"台湾26服","25000565","13971111","224","590","taiwanios","016002600250005651522241339248	","2018-03-28 20:48:59"
"台湾3服","2003746","109022945","351","300","taiwanios","180328204724383583	","2018-03-28 20:48:03"
"台湾1服 ","9995","25424590","14","30","taiwanios","016000100000099951522241268327	","2018-03-28 20:47:48"
"台湾17服","16004224","110797229","288","150","taiwanios","016001700160042241522241065145	","2018-03-28 20:44:25"
"台湾22服","21003398","502987634","288","5000","taiwanios","180328204158385598	","2018-03-28 20:42:53"
"台湾23服","22002017","110833193","206","2000","taiwanios","180328203957281132	","2018-03-28 20:42:51"
"台湾9服","8000767","21418564","348","500","taiwanios","180328204004222527	","2018-03-28 20:41:39"
"台湾28服","27001252","7519940","214","2990","taiwanios","016002800270012521522240804458	","2018-03-28 20:40:04"
"台湾26服","25001244","11808846","245","590","taiwanios","016002600250012441522240649750	","2018-03-28 20:37:29"
